method,G(Phi d),covered_groups_tau_1.0,exposure_entropy,planning_calls,runtime_sec,instance_seed,utility
Random,11.482173956429751,8,2.065559312500409,0,0.005601000040769577,2000,log
Additive,11.094086032054099,5,1.571764432950375,1,0.0017821999499574304,2000,log
Myopic-effectiveness,11.094086032054099,5,1.571764432950375,0,0.0006198000046424568,2000,log
Marginal,7.003399999463428,3,0.88836329679987,6,0.0066312000271864235,2000,log
OCG K=5,13.996178014985556,8,2.0665638707349796,5,0.008877999964170158,2000,log
OCG K=10,14.07856252199641,8,2.0510763399707765,10,0.024145000032149255,2000,log
OCG K=20,14.0975757350445,8,2.0505033153284833,20,0.05117450002580881,2000,log
OCG K=40,14.108577052072558,8,2.0500144188489005,40,0.07461609999882057,2000,log
Random,11.835604364679654,8,2.074539783199614,0,0.004243200004566461,2001,log
Additive,10.936620102616569,5,1.574436539523808,1,0.0011990999919362366,2001,log
Myopic-effectiveness,10.842780680846818,5,1.5841627855643836,0,0.002351399976760149,2001,log
Marginal,7.264459190226658,3,0.9777739641648096,6,0.009696500026620924,2001,log
OCG K=5,13.408120496161123,8,2.0359331191103918,5,0.008138000033795834,2001,log
OCG K=10,13.764797765937745,8,2.0715152220627164,10,0.020737399987410754,2001,log
OCG K=20,13.865401499750515,8,2.0709994520647594,20,0.030999300011899322,2001,log
OCG K=40,13.878866293653216,8,2.0707963779530365,40,0.07553179998649284,2001,log
Random,11.268298130444212,8,2.0632365437358917,0,0.005317400034982711,2002,log
Additive,11.040105070235454,5,1.5780605579351261,1,0.0012106000212952495,2002,log
Myopic-effectiveness,11.040105070235454,5,1.5780605579351261,0,0.0006157000316306949,2002,log
Marginal,7.071066695400919,3,0.9069202528701997,6,0.014569399994798005,2002,log
OCG K=5,14.060789787894795,8,2.0415765267705694,5,0.014399299980141222,2002,log
OCG K=10,14.09883602757116,8,2.050758328502052,10,0.026723199989646673,2002,log
OCG K=20,14.135969207575304,8,2.056618609276975,20,0.03011049999622628,2002,log
OCG K=40,14.145572628585835,8,2.054050591163972,40,0.05943730002036318,2002,log
Random,11.691984125213796,8,2.0494930141460097,0,0.007212200027424842,2003,log
Additive,10.165559310011341,4,1.3469871341806572,1,0.0012092000106349587,2003,log
Myopic-effectiveness,11.02408945943249,5,1.5387996054577928,0,0.0006346000009216368,2003,log
Marginal,7.424709697153567,3,0.9411775342021134,6,0.00976370001444593,2003,log
OCG K=5,13.235976058821818,8,2.0510743673837197,5,0.016138400009367615,2003,log
OCG K=10,13.572998061437195,8,2.0174139044854495,10,0.027678699989337474,2003,log
OCG K=20,13.685708306805296,8,2.023194446248616,20,0.04206159996101633,2003,log
OCG K=40,13.716438991362317,8,2.023739023059523,40,0.07684759999392554,2003,log
Random,11.790542988566681,8,2.0575126564222295,0,0.004301699984353036,2004,log
Additive,7.9462179539718925,3,1.0687233877320836,1,0.0012196000316180289,2004,log
Myopic-effectiveness,7.9462179539718925,3,1.0687233877320836,0,0.0006200000061653554,2004,log
Marginal,9.266916679962732,4,1.3630322712349896,6,0.010671500000171363,2004,log
OCG K=5,13.112185749674916,8,2.0055311031848735,5,0.006448499974794686,2004,log
OCG K=10,13.70156719898782,8,2.0729656220486565,10,0.01602090004598722,2004,log
OCG K=20,13.774278631737596,8,2.0734399594009765,20,0.04591599997365847,2004,log
OCG K=40,13.820288219591752,8,2.072155895543519,40,0.0812387999612838,2004,log
Random,12.369454884745963,8,2.076700078668451,0,0.012284900003578514,2005,log
Additive,10.837040645076137,5,1.5632072485270805,1,0.0021838999819010496,2005,log
Myopic-effectiveness,10.837040645076137,5,1.5632072485270805,0,0.0008055000216700137,2005,log
Marginal,7.598490933731155,3,1.0098110465293626,6,0.009870900015812367,2005,log
OCG K=5,13.93104509094096,8,2.046912724652648,5,0.007736700004898012,2005,log
OCG K=10,14.09735252525991,8,2.0729550805296952,10,0.01598939998075366,2005,log
OCG K=20,14.188876450120691,8,2.074598740058235,20,0.039915299974381924,2005,log
OCG K=40,14.21598407126771,8,2.076999797091947,40,0.06635799998184666,2005,log
Random,11.95284302154792,8,2.0561028031737387,0,0.010283600015100092,2006,log
Additive,11.131651186303806,5,1.5795785238771494,1,0.00230379996355623,2006,log
Myopic-effectiveness,9.380060798137531,4,1.2645332566236298,0,0.0010830999817699194,2006,log
Marginal,5.667545240446302,2,0.6900790405765687,6,0.009788299968931824,2006,log
OCG K=5,13.453671888013954,8,1.9661480410671275,5,0.01186309999320656,2006,log
OCG K=10,13.963082825202918,8,2.054054355655154,10,0.03146520000882447,2006,log
OCG K=20,14.002622385735824,8,2.0537732552748773,20,0.048446300032082945,2006,log
OCG K=40,14.01847435839178,8,2.055104355102331,40,0.07685950002633035,2006,log
Random,11.86165971803094,8,2.0596384572041275,0,0.004234099993482232,2007,log
Additive,9.645971616507392,4,1.3481068961119047,1,0.0011885000276379287,2007,log
Myopic-effectiveness,9.368391346507478,4,1.2709393588623668,0,0.001989100011996925,2007,log
Marginal,5.715340489441088,2,0.5887965923326524,6,0.0162207999965176,2007,log
OCG K=5,13.222628308507087,8,2.049201429675433,5,0.00797120004426688,2007,log
OCG K=10,13.481637701303015,8,2.0356662766117557,10,0.01619270001538098,2007,log
OCG K=20,13.598447978658248,8,2.0440784354649675,20,0.03272680001100525,2007,log
OCG K=40,13.636323140266548,8,2.0450967606129575,40,0.08098400000017136,2007,log
Random,11.823369911928793,8,2.0716173351583635,0,0.0036625000066123903,2008,log
Additive,10.583966932827703,5,1.4930851096261146,1,0.0010145999840460718,2008,log
Myopic-effectiveness,10.583966932827703,5,1.4930851096261146,0,0.0005235999706201255,2008,log
Marginal,6.967887509102299,3,0.9093066384808843,6,0.016021599993109703,2008,log
OCG K=5,13.78314779200724,8,2.070726205754673,5,0.0094571000081487,2008,log
