instance_type,instance_seed,m,q,horizon,utility,method,evaluated_objective,exposure_entropy,covered_groups_tau_1.0,runtime_sec,planning_calls,objective_evaluations,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
allocation_scaling,3000,8,5,30,soft,Additive,3.9979805870329597,1.3196401670396045,4,0.0004708999767899513,1,1,0.0,0.0,0.0,1.3322676295501878e-15,0.0
allocation_scaling,3000,8,5,30,soft,OCG K=20,7.922896928905752,2.077745625166859,8,0.009449900011532009,20,20,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17,8.881784197001252e-16,0.0
allocation_scaling,3000,8,5,30,soft,OCG K=40,7.928314537044278,2.078692360250992,8,0.016717399994377047,40,40,8.326672684688674e-17,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
allocation_scaling,3000,8,5,30,soft,FW K=40,7.920834183310611,2.0788695839412608,8,0.04021659999853,40,1757,2.7755575615628914e-17,1.3877787807814457e-16,1.3877787807814457e-16,8.881784197001252e-16,0.0
allocation_scaling,3000,8,5,30,log,Additive,9.470871338782082,1.3196401670396045,4,0.0005280000041238964,1,1,0.0,0.0,0.0,1.3322676295501878e-15,0.0
allocation_scaling,3000,8,5,30,log,OCG K=20,14.062668110376393,2.063061131088581,8,0.007544199994299561,20,20,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17,1.1102230246251565e-15,0.0
allocation_scaling,3000,8,5,30,log,OCG K=40,14.08906158414089,2.0598459464245966,8,0.016415000020060688,40,40,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3000,8,5,30,log,FW K=40,14.063159413894741,2.0614672375724536,8,0.037550700013525784,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.5543122344752192e-15,0.0
allocation_scaling,3001,8,5,30,soft,Additive,4.264939572428368,1.3639522055593039,4,0.0008856999920681119,1,1,0.0,0.0,0.0,1.9984014443252818e-15,0.0
allocation_scaling,3001,8,5,30,soft,OCG K=20,7.8306345831073605,2.0763389963964034,8,0.01016990002244711,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3001,8,5,30,soft,OCG K=40,7.838677142437803,2.077004665539111,8,0.016900199989322573,40,40,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3001,8,5,30,soft,FW K=40,7.82006391350564,2.0765070722151626,8,0.038876299979165196,40,1757,1.1102230246251565e-16,1.3877787807814457e-16,1.3877787807814457e-16,1.7763568394002505e-15,0.0
allocation_scaling,3001,8,5,30,log,Additive,9.483240899444146,1.3639522055593039,4,0.0006664000102318823,1,1,0.0,0.0,0.0,1.9984014443252818e-15,0.0
allocation_scaling,3001,8,5,30,log,OCG K=20,12.92356642220576,2.0345049142922047,8,0.007838200021069497,20,20,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17,1.7763568394002505e-15,0.0
allocation_scaling,3001,8,5,30,log,OCG K=40,12.964739994961619,2.0344165146314825,8,0.017095500021241605,40,40,1.1102230246251565e-16,1.3877787807814457e-16,1.3877787807814457e-16,1.7763568394002505e-15,0.0
allocation_scaling,3001,8,5,30,log,FW K=40,12.909925653156156,2.034372920875978,8,0.03753829997731373,40,1757,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.9984014443252818e-15,0.0
allocation_scaling,3002,8,5,30,soft,Additive,4.994980015614113,1.5994832819810827,5,0.001221699989400804,1,1,0.0,0.0,0.0,1.9984014443252818e-15,0.0
allocation_scaling,3002,8,5,30,soft,OCG K=20,7.879505209923187,2.0779662849566285,8,0.00828370003728196,20,20,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-15,0.0
allocation_scaling,3002,8,5,30,soft,OCG K=40,7.882835884983075,2.078314579772538,8,0.017992899985983968,40,40,1.6653345369377348e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-15,0.0
allocation_scaling,3002,8,5,30,soft,FW K=40,7.879436478364461,2.0791142713140354,8,0.04280560003826395,40,1757,5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,8.881784197001252e-16,0.0
allocation_scaling,3002,8,5,30,log,Additive,10.64308606008008,1.5994832819810827,5,0.00040980003541335464,1,1,0.0,0.0,0.0,1.9984014443252818e-15,0.0
allocation_scaling,3002,8,5,30,log,OCG K=20,13.311951288251848,2.0659656647959683,8,0.007684200012590736,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3002,8,5,30,log,OCG K=40,13.318846175306334,2.067856684546218,8,0.017304599983617663,40,40,1.6653345369377348e-16,1.1102230246251565e-16,1.6653345369377348e-16,1.5543122344752192e-15,0.0
allocation_scaling,3002,8,5,30,log,FW K=40,13.285659710975573,2.0688598236935327,8,0.04762140003731474,40,1757,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.7763568394002505e-15,0.0
allocation_scaling,3003,8,5,30,soft,Additive,3.0715104067237275,0.9891982019774155,3,0.0004056000034324825,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
