m,q,horizon,utility,method,objective_mean,objective_std,entropy_mean,runtime_mean_sec,planning_calls,objective_evaluations,max_flow_residual,max_layer_mass_error
8,5,30,log,Additive,9.34458375505524,1.1410010116971288,1.320926967387256,0.0005010200082324445,1.0,1.0,0.0,1.9984014443252818e-15
8,5,30,log,FW K=40,13.413319919771212,0.7028835586887755,2.053082645331137,0.0405521200154908,40.0,1757.0,1.6653345369377348e-16,1.9984014443252818e-15
8,5,30,log,OCG K=20,13.42305367211251,0.7029078002004179,2.0515848550172415,0.008360900008119643,20.0,20.0,1.1102230246251565e-16,1.7763568394002505e-15
8,5,30,log,OCG K=40,13.449788048148886,0.6967674382910019,2.052334413137386,0.017113640008028598,40.0,40.0,1.6653345369377348e-16,1.7763568394002505e-15
8,5,30,soft,Additive,4.0654762799838196,0.6893554258757887,1.320926967387256,0.0006760799908079207,1.0,1.0,0.0,1.9984014443252818e-15
8,5,30,soft,FW K=40,7.8636472163714775,0.0685778576246638,2.0778487031435082,0.03992970001418143,40.0,1757.0,1.6653345369377348e-16,1.7763568394002505e-15
8,5,30,soft,OCG K=20,7.8687962474924475,0.06335343032937457,2.076243452211094,0.009333200007677078,20.0,20.0,1.6653345369377348e-16,1.3322676295501878e-15
8,5,30,soft,OCG K=40,7.875734469614879,0.06124370630635673,2.0775266156258896,0.017004159989301115,40.0,40.0,1.6653345369377348e-16,1.3322676295501878e-15
16,5,60,log,Additive,12.415989099413864,2.3593296818123735,1.3063420762136246,0.001209760003257543,1.0,1.0,0.0,1.1102230246251565e-15
16,5,60,log,FW K=40,27.698816229588875,0.48491749923942873,2.755463547718974,0.08930166001664475,40.0,1757.0,2.220446049250313e-16,1.3322676295501878e-15
16,5,60,log,OCG K=20,27.725165663669678,0.47424628856304357,2.7551609940637767,0.017850919999182223,20.0,20.0,1.6653345369377348e-16,1.3322676295501878e-15
16,5,60,log,OCG K=40,27.84161760513009,0.4444505549657476,2.7545772602787104,0.035731900006067005,40.0,40.0,1.6653345369377348e-16,1.5543122344752192e-15
16,5,60,soft,Additive,4.265753137980825,1.1658330829861299,1.3063420762136246,0.0014082200126722456,1.0,1.0,0.0,1.1102230246251565e-15
16,5,60,soft,FW K=40,15.812200505752392,0.038016075647381777,2.7686287030993877,0.09266293999971822,40.0,1757.0,1.6653345369377348e-16,1.7763568394002505e-15
16,5,60,soft,OCG K=20,15.800563317945072,0.03743448992935823,2.764944403062086,0.018353940011002122,20.0,20.0,1.3877787807814457e-16,1.5543122344752192e-15
16,5,60,soft,OCG K=40,15.831574706577237,0.029330771116464965,2.770401544558363,0.03601540001109242,40.0,40.0,1.3877787807814457e-16,1.3322676295501878e-15
32,5,120,log,Additive,17.19199433448584,1.1431469751828431,1.4946616323824804,0.002767219999805093,1.0,1.0,0.0,3.1086244689504383e-15
32,5,120,log,FW K=40,55.58314121736597,0.62560798749031,3.4499870660112366,0.40751170001458376,40.0,1757.0,1.6653345369377348e-16,1.5543122344752192e-15
32,5,120,log,OCG K=20,55.3030609167532,0.6022114241300952,3.4389692437895727,0.044377560017164794,20.0,20.0,1.3877787807814457e-16,1.5543122344752192e-15
32,5,120,log,OCG K=40,55.785262237813754,0.6208154673748504,3.4474502363306216,0.09226228001061827,40.0,40.0,1.6653345369377348e-16,1.5543122344752192e-15
32,5,120,soft,Additive,5.0168090386576605,0.6635749058864845,1.4946616323824804,0.0026751199970021845,1.0,1.0,0.0,3.1086244689504383e-15
32,5,120,soft,FW K=40,31.6170304937352,0.02403776570440722,3.4507809847690725,0.40359722001012416,40.0,1757.0,1.6653345369377348e-16,1.7763568394002505e-15
32,5,120,soft,OCG K=20,31.52805366114916,0.043813035549418726,3.4433209326026395,0.043745399999897926,20.0,20.0,1.942890293094024e-16,1.9984014443252818e-15
32,5,120,soft,OCG K=40,31.66177297135594,0.03524989642877069,3.460938874930689,0.08816055997740477,40.0,40.0,1.6653345369377348e-16,1.7763568394002505e-15
