method,G(Phi d),covered_groups_tau_1.0,exposure_entropy,planning_calls,runtime_sec,instance_seed,utility
Random,7.641775261745531,8,2.065559312500409,0,0.006412499991711229,2000,soft
Additive,4.995615493853535,5,1.571764432950375,1,0.0012962000328116119,2000,soft
Myopic-effectiveness,4.995615493853535,5,1.571764432950375,0,0.0005226999637670815,2000,soft
Marginal,2.9822661710986353,3,0.88836329679987,6,0.007345399993937463,2000,soft
OCG K=5,7.862388671926715,8,2.0492759205467572,5,0.008645599998999387,2000,soft
OCG K=10,7.90236649339521,8,2.0734704505639105,10,0.016197899996768683,2000,soft
OCG K=20,7.922803788759198,8,2.078147981247568,20,0.04270879999967292,2000,soft
OCG K=40,7.928131744156342,8,2.078210041039429,40,0.09804930002428591,2000,soft
Random,7.717858026348091,8,2.074539783199614,0,0.008733100024983287,2001,soft
Additive,5.215285711315568,5,1.574436539523808,1,0.002194100001361221,2001,soft
Myopic-effectiveness,4.9949499777905535,5,1.5841627855643836,0,0.0011553000076673925,2001,soft
Marginal,2.9900152915798746,3,0.9777739641648096,6,0.010531499981880188,2001,soft
OCG K=5,7.813533476195518,8,2.0386160870860577,5,0.008215199981350452,2001,soft
OCG K=10,7.8483178556755355,8,2.060594303155928,10,0.014233599998988211,2001,soft
OCG K=20,7.911019560322923,8,2.07688164789394,20,0.03962989995488897,2001,soft
OCG K=40,7.91972437142844,8,2.0792851656294578,40,0.0670545999892056,2001,soft
Random,7.5896545382319385,8,2.0632365437358917,0,0.0037914999993517995,2002,soft
Additive,4.994088117059947,5,1.5780605579351261,1,0.0013020000187680125,2002,soft
Myopic-effectiveness,4.994088117059947,5,1.5780605579351261,0,0.0006608000257983804,2002,soft
Marginal,2.9749029932073605,3,0.9069202528701997,6,0.007829799957107753,2002,soft
OCG K=5,7.8913575021475335,8,2.0662522542639135,5,0.007983100018464029,2002,soft
OCG K=10,7.91674466082699,8,2.0763854323240762,10,0.01306490000570193,2002,soft
OCG K=20,7.930717577910315,8,2.0779471876565574,20,0.03358479996677488,2002,soft
OCG K=40,7.930229941811755,8,2.078084165014393,40,0.06063030002405867,2002,soft
Random,7.60705817508111,8,2.0494930141460097,0,0.003341499948874116,2003,soft
Additive,4.813476030332589,4,1.3469871341806572,1,0.001650199992582202,2003,soft
Myopic-effectiveness,4.991721503533945,5,1.5387996054577928,0,0.0006076000281609595,2003,soft
Marginal,1.9988613358794227,2,0.4735620524116273,6,0.007374500040896237,2003,soft
OCG K=5,7.772934417000023,8,2.0164659733243258,5,0.010139699967112392,2003,soft
OCG K=10,7.835948162167414,8,2.056032246749594,10,0.016763899999205023,2003,soft
OCG K=20,7.880126229032705,8,2.0740225005770996,20,0.0337452000239864,2003,soft
OCG K=40,7.888096638807056,8,2.0762594181462637,40,0.06424999999580905,2003,soft
Random,7.668545863147888,8,2.0575126564222295,0,0.0038134000496938825,2004,soft
Additive,2.9999542763406684,3,1.0687233877320836,1,0.0012073999969288707,2004,soft
Myopic-effectiveness,2.9999542763406684,3,1.0687233877320836,0,0.000547099974937737,2004,soft
