initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy,utility,solver,requested_solver,solver_fallback_from,solver_status,solver_objective,evaluated_objective,wall_time_sec,solver_time_sec,solver_num_iters,variable_count,constraint_count,horizon,state_count,action_count,target_count,enforce_layer_mass,objective_discrepancy,accepted_status,accepted_residuals,accepted,instance_type,instance_seed,method,reference_objective,reference_ratio,relative_gap,planning_calls,q,m
1.4868953907330297e-09,1.7686189179855205e-09,1.7686189179855205e-09,6.237322147661928e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,11.183563859297902,11.183563859297907,0.8522223999607377,0.6522992,29.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,5.329070518200751e-15,True,True,True,gridworld,1000,Direct-CVX,11.183563859297907,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-15,0.0,soft,,,,not_applicable,,3.0016303300770533,,,,,,,,,,,,,,,gridworld,1000,Random,11.183563859297907,0.26839658340051653,0.7316034165994834,0.0,,
0.0,0.0,0.0,6.661338147750939e-16,0.0,soft,,,,not_applicable,,6.534498617684142,,,,,,,,,,,,,,,gridworld,1000,Additive,11.183563859297907,0.584294836591953,0.415705163408047,1.0,,
4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,soft,,,,not_applicable,,11.173874342765455,,,,,,,,,,,,,,,gridworld,1000,OCG K=40,11.183563859297907,0.9991335931323541,0.0008664068676459009,40.0,,
0.0,0.0,0.0,1.1102230246251565e-15,0.0,soft,,,,not_applicable,,9.397198997144363,,,,,,,,,,,,,,,gridworld,1000,Nearest-target,11.183563859297907,0.8402687296618441,0.1597312703381559,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,soft,,,,not_applicable,,7.058594395007696,,,,,,,,,,,,,,,gridworld,1000,Marginal,11.183563859297907,0.6311578745213002,0.3688421254786998,6.0,,
3.429420720499225e-09,3.5700245985800116e-09,3.5700245985800116e-09,1.4739640907812657e-07,0.0,log,CLARABEL,CLARABEL,,optimal,16.110231463017332,16.11023146301734,0.9078808999620378,0.7156466,31.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,7.105427357601002e-15,True,True,True,gridworld,1000,Direct-CVX,16.11023146301734,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-15,0.0,log,,,,not_applicable,,4.63194845993136,,,,,,,,,,,,,,,gridworld,1000,Random,16.11023146301734,0.2875159472763917,0.7124840527236083,0.0,,
0.0,0.0,0.0,6.661338147750939e-16,0.0,log,,,,not_applicable,,11.833241118967342,,,,,,,,,,,,,,,gridworld,1000,Additive,16.11023146301734,0.7345171387594114,0.2654828612405886,1.0,,
4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,log,,,,not_applicable,,16.10435414727574,,,,,,,,,,,,,,,gridworld,1000,OCG K=40,16.11023146301734,0.9996351811732134,0.0003648188267866826,40.0,,
3.0272969209180137e-09,2.901904272434308e-09,3.0272969209180137e-09,1.0309818554432582e-07,0.0,soft,CLARABEL,CLARABEL,,optimal,10.549273754825164,10.549273754825164,0.9657924000057392,0.7802001,34.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,0.0,True,True,True,gridworld,1001,Direct-CVX,10.549273754825164,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-15,0.0,soft,,,,not_applicable,,3.171881302516645,,,,,,,,,,,,,,,gridworld,1001,Random,10.549273754825164,0.3006729540093553,0.6993270459906447,0.0,,
0.0,0.0,0.0,6.661338147750939e-16,0.0,soft,,,,not_applicable,,6.7585476814800804,,,,,,,,,,,,,,,gridworld,1001,Additive,10.549273754825164,0.6406647356543164,0.3593352643456837,1.0,,
