instance_type,instance_seed,utility,method,K,evaluated_objective,history_min_delta,runtime_sec,planning_calls,objective_evaluations,line_search_tolerance,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
gridworld,1000,soft,FW K=5,5,11.070615595586263,0.014008275185590335,0.031864199962001294,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,0.0
gridworld,1000,soft,FW K=10,10,11.121503755176546,0.0030746234483824963,0.06906369997886941,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0
gridworld,1000,soft,FW K=20,20,11.149515982829074,0.0006425559555545135,0.15350020001642406,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1000,soft,FW K=40,40,11.158922020784475,6.715930484091359e-05,0.2883451000088826,40,1757,1e-08,0.0,5.551115123125783e-16,5.551115123125783e-16,8.881784197001252e-16,0.0
gridworld,1000,log,FW K=5,5,16.02039742873433,0.01768857957154779,0.030015099968295544,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,7.771561172376096e-16,0.0
gridworld,1000,log,FW K=10,10,16.049171340095093,0.0011727693774012948,0.07354920002399012,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1000,log,FW K=20,20,16.062089403033962,0.0002829709336502617,0.14428599999519065,20,857,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0
gridworld,1000,log,FW K=40,40,16.07155389409885,0.00022487914062097047,0.2562282000435516,40,1757,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,0.0
gridworld,1001,soft,FW K=5,5,9.648539171695639,0.6614852334997074,0.03597060003085062,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1001,soft,FW K=10,10,10.392156790880842,0.025785778221926847,0.07540550001431257,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1001,soft,FW K=20,20,10.474425675829705,0.002836935736592494,0.14984599995659664,20,857,1e-08,0.0,1.6653345369377348e-16,1.6653345369377348e-16,6.661338147750939e-16,0.0
gridworld,1001,soft,FW K=40,40,10.492831151915357,0.00018060610218029183,0.2737521000090055,40,1757,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0
gridworld,1001,log,FW K=5,5,13.875714830765599,0.2899986523063518,0.030498099979013205,5,182,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0
gridworld,1001,log,FW K=10,10,14.144876763280667,0.004277442100409701,0.06629460002295673,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1001,log,FW K=20,20,14.156931851505275,0.0004152304248723482,0.13276599999517202,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1001,log,FW K=40,40,14.16381322838988,6.975437777967386e-05,0.25948569999309257,40,1757,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,5.551115123125783e-16,0.0
gridworld,1002,soft,FW K=5,5,10.04795568747424,0.15273691066016326,0.03076850000070408,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1002,soft,FW K=10,10,10.440545351769105,0.022040138412542376,0.06733839999651536,10,407,1e-08,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1002,soft,FW K=20,20,10.55313087262001,0.0023354034345164365,0.13202000001911074,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0
gridworld,1002,soft,FW K=40,40,10.581402631304561,0.00031974321379379944,0.26666059996932745,40,1757,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,0.0
gridworld,1002,log,FW K=5,5,13.478810083832231,0.10965052942516174,0.028580900048837066,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1002,log,FW K=10,10,13.732285824300561,0.01674410610041477,0.0645348000107333,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1002,log,FW K=20,20,13.81076383467749,0.001514438272540275,0.13791259995196015,20,857,1e-08,1.1102230246251565e-16,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0
gridworld,1002,log,FW K=40,40,13.827336887586327,5.7345952576781656e-05,0.2576198000460863,40,1757,1e-08,1.1102230246251565e-16,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0
gridworld,1003,soft,FW K=5,5,10.46213680092082,0.4202200984927753,0.034259899985045195,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1003,soft,FW K=10,10,10.781769024482438,0.01287830468501383,0.07930199999827892,10,407,1e-08,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1003,soft,FW K=20,20,10.8344131313704,0.0006761951674114641,0.14990130002843216,20,857,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,0.0
gridworld,1003,soft,FW K=40,40,10.851546667753533,0.0002345275207495945,0.2702199000050314,40,1757,1e-08,0.0,5.551115123125783e-16,5.551115123125783e-16,5.551115123125783e-16,0.0
gridworld,1003,log,FW K=5,5,14.83837764481249,0.22567074547752242,0.030076000024564564,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1003,log,FW K=10,10,14.998344817267983,0.005879329306960557,0.06457610003417358,10,407,1e-08,2.220446049250313e-16,1.6653345369377348e-16,2.220446049250313e-16,5.551115123125783e-16,0.0
gridworld,1003,log,FW K=20,20,15.055771986158692,0.001315578761870384,0.1393110000062734,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-16,0.0
gridworld,1003,log,FW K=40,40,15.071717236861456,0.0001946689949150482,0.2595111000118777,40,1757,1e-08,0.0,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,0.0
gridworld,1004,soft,FW K=5,5,10.894810557512454,0.09810788615524402,0.0325289000174962,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1004,soft,FW K=10,10,11.016780467953735,0.009488249074969701,0.06534710002597421,10,407,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1004,soft,FW K=20,20,11.074634765585051,0.002286274381946285,0.13346779998391867,20,857,1e-08,0.0,1.6653345369377348e-16,1.6653345369377348e-16,4.440892098500626e-16,0.0
gridworld,1004,soft,FW K=40,40,11.096413748012807,0.00012563912986252035,0.26682740001706406,40,1757,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1004,log,FW K=5,5,15.767397843209856,0.03452524431942017,0.030162799987010658,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,7.771561172376096e-16,0.0
gridworld,1004,log,FW K=10,10,15.80685373373979,0.0041579904002020385,0.06461230001877993,10,407,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-16,0.0
gridworld,1004,log,FW K=20,20,15.837251977508906,0.0008014706140482275,0.15979000000515953,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0
gridworld,1004,log,FW K=40,40,15.848768721277729,0.00012441312416378025,0.28845340001862496,40,1757,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0
