instance_type,utility,method,objective_mean,objective_std,runtime_mean_sec,oracle_calls,objective_evaluations,max_flow_residual,layer_mass_error,history_min_delta
allocation,log,FW K=10,13.802417114365792,0.23411385309649183,0.009033109998563304,10.0,407.0,2.220446049250313e-16,1.3322676295501878e-15,0.0025512666650833182
allocation,log,FW K=20,13.852096414419808,0.2152267711306468,0.019451140007004143,20.0,857.0,2.220446049250313e-16,1.5543122344752192e-15,0.0008615503339779451
allocation,log,FW K=40,13.891337104081535,0.20214003331194902,0.03815630998578854,40.0,1757.0,2.7755575615628914e-16,1.7763568394002505e-15,0.0005150017585044964
allocation,log,FW K=5,13.72824613504871,0.26856966251397685,0.0039696899941191075,5.0,182.0,1.1102230246251565e-16,1.3322676295501878e-15,0.007868035004678475
allocation,soft,FW K=10,7.896425636547394,0.022933781814200676,0.01016774998861365,10.0,407.0,1.6653345369377348e-16,1.3322676295501878e-15,0.0002649319710856801
allocation,soft,FW K=20,7.902982746380222,0.021827024271044427,0.01989187000435777,20.0,857.0,2.220446049250313e-16,1.3322676295501878e-15,7.323728820196607e-05
allocation,soft,FW K=40,7.907615222797569,0.019374020537180122,0.04202563998987898,40.0,1757.0,1.6653345369377348e-16,1.3322676295501878e-15,3.168890942006897e-05
allocation,soft,FW K=5,7.851604497692688,0.0590709706511594,0.004788720019860193,5.0,182.0,1.6653345369377348e-16,1.3322676295501878e-15,0.010233843952154764
gridworld,log,FW K=10,14.421157411598722,0.9926747147739234,0.06331702000461518,10.0,407.0,2.220446049250313e-16,7.771561172376096e-16,0.0011727693774012948
gridworld,log,FW K=20,14.478679834292222,0.9568578402450711,0.13385072999517433,20.0,857.0,4.440892098500626e-16,6.661338147750939e-16,0.0002829709336502617
gridworld,log,FW K=40,14.506423044694827,0.9392419019446908,0.2592958000139333,40.0,1757.0,6.661338147750939e-16,7.771561172376096e-16,5.7345952576781656e-05
gridworld,log,FW K=5,14.170778541576468,1.1607519023377109,0.02931702999630943,5.0,182.0,3.3306690738754696e-16,7.771561172376096e-16,0.01768857957154779
gridworld,soft,FW K=10,10.584522978423873,0.32325263598959886,0.06833218999672681,10.0,407.0,2.220446049250313e-16,8.881784197001252e-16,0.0030746234483824963
gridworld,soft,FW K=20,10.658304658732028,0.296816845343636,0.13621406999300234,20.0,857.0,4.440892098500626e-16,8.881784197001252e-16,0.0006425559555545135
gridworld,soft,FW K=40,10.686322738570826,0.28450066581072575,0.26253818000550383,40.0,1757.0,5.551115123125783e-16,1.1102230246251565e-15,6.715930484091359e-05
gridworld,soft,FW K=5,10.120419726788889,0.6465818174088147,0.03265096999239177,5.0,182.0,2.220446049250313e-16,8.881784197001252e-16,0.014008275185590335
