instance_type,instance_seed,utility,K,method,objective,reference_objective,relative_gap
gridworld,1000,soft,5,OCG,10.867607767851577,11.183563859297909,0.028251825216131655
gridworld,1000,soft,10,OCG,11.063513822754734,11.183563859297909,0.01073450628561183
gridworld,1000,soft,20,OCG,11.163863773053256,11.183563859297909,0.0017615213265200892
gridworld,1000,soft,40,OCG,11.173874342765455,11.183563859297909,0.0008664068676460596
gridworld,1000,log,5,OCG,15.857186042530985,16.11023146301734,0.015707125069384927
gridworld,1000,log,10,OCG,16.075976875996634,16.11023146301734,0.0021262628720971253
gridworld,1000,log,20,OCG,16.103313142345364,16.11023146301734,0.0004294364539613634
gridworld,1000,log,40,OCG,16.10435414727574,16.11023146301734,0.0003648188267866826
gridworld,1001,soft,5,OCG,9.273675959442041,10.549273754825164,0.12091806744513317
gridworld,1001,soft,10,OCG,10.416562720889024,10.549273754825164,0.012580110917629624
gridworld,1001,soft,20,OCG,10.476080944136676,10.549273754825164,0.0069381847878399894
gridworld,1001,soft,40,OCG,10.525180273001956,10.549273754825164,0.0022838995729149133
gridworld,1001,log,5,OCG,12.996595302051464,14.192095974574322,0.08423707637438774
gridworld,1001,log,10,OCG,14.119861217921407,14.192095974574322,0.005089787779220614
gridworld,1001,log,20,OCG,14.133899644410999,14.192095974574322,0.004100615600936181
gridworld,1001,log,40,OCG,14.174975924316813,14.192095974574322,0.0012063087995021907
gridworld,1002,soft,5,OCG,10.126828128987214,10.607347035317702,0.045300573718440235
gridworld,1002,soft,10,OCG,10.495098619764272,10.607347035317702,0.010582138510194143
gridworld,1002,soft,20,OCG,10.567037111405382,10.607347035317702,0.0038001890367219764
gridworld,1002,soft,40,OCG,10.595208806272638,10.607347035317702,0.0011443227985894265
gridworld,1002,log,5,OCG,13.407817012863443,13.845631684003752,0.03162114095856881
gridworld,1002,log,10,OCG,13.645259247158503,13.845631684003752,0.01447188842071723
gridworld,1002,log,20,OCG,13.819353898115988,13.845631684003752,0.0018979116653899978
gridworld,1002,log,40,OCG,13.820794881389082,13.845631684003752,0.0017938367263781122
gridworld,1003,soft,5,OCG,10.719974184818003,10.88434726881353,0.015101786072785258
gridworld,1003,soft,10,OCG,10.83215020474324,10.88434726881353,0.004795608113299371
gridworld,1003,soft,20,OCG,10.863383635356556,10.88434726881353,0.0019260349692296463
gridworld,1003,soft,40,OCG,10.873696673835282,10.88434726881353,0.0009785239955329946
gridworld,1003,log,5,OCG,14.676706529988687,15.10040955794399,0.028059042129251574
gridworld,1003,log,10,OCG,15.004447679190484,15.10040955794399,0.0063549189434417
gridworld,1003,log,20,OCG,15.070511198281151,15.10040955794399,0.001979970115917181
gridworld,1003,log,40,OCG,15.08962900003695,15.10040955794399,0.0007139248684396591
gridworld,1004,soft,5,OCG,10.80562901949645,11.128152675569629,0.028982677132138555
gridworld,1004,soft,10,OCG,11.023949725077873,11.128152675569629,0.009363903743028174
gridworld,1004,soft,20,OCG,11.089424862636985,11.128152675569629,0.0034801654921274884
gridworld,1004,soft,40,OCG,11.112345451271034,11.128152675569629,0.001420471551697627
gridworld,1004,log,5,OCG,15.730586327081395,15.867237726942886,0.008612173222151543
gridworld,1004,log,10,OCG,15.731210091469078,15.867237726942886,0.008572861755441504
gridworld,1004,log,20,OCG,15.82010959095518,15.867237726942886,0.0029701537721137728
gridworld,1004,log,40,OCG,15.838953731964047,15.867237726942886,0.0017825405697938304
gridworld,1005,soft,5,OCG,8.999744838888656,10.489022403285698,0.14198440113260932
gridworld,1005,soft,10,OCG,10.026970925559205,10.489022403285698,0.04405095727336377
gridworld,1005,soft,20,OCG,10.33836879516761,10.489022403285698,0.014362978962738717
gridworld,1005,soft,40,OCG,10.445906298373954,10.489022403285698,0.004110593271136344
gridworld,1005,log,5,OCG,12.70710907594746,13.551424838783475,0.062304574823720885
gridworld,1005,log,10,OCG,13.200415478771408,13.551424838783475,0.025902026110752357
gridworld,1005,log,20,OCG,13.489112543146465,13.551424838783475,0.004598209884076233
gridworld,1005,log,40,OCG,13.520634529829001,13.551424838783475,0.0022721086026580638
gridworld,1006,soft,5,OCG,9.596515935600095,10.645854141098454,0.09856777968123526
gridworld,1006,soft,10,OCG,10.528144212499747,10.645854141098454,0.011056879705338647
gridworld,1006,soft,20,OCG,10.56415386943698,10.645854141098454,0.007674374510361597
gridworld,1006,soft,40,OCG,10.625783718785318,10.645854141098454,0.0018852806028643518
gridworld,1006,log,5,OCG,13.819923670679456,14.490847254306042,0.046299817522899946
gridworld,1006,log,10,OCG,14.376873718914819,14.490847254306042,0.00786520852722084
gridworld,1006,log,20,OCG,14.436181876515025,14.490847254306042,0.0037724072879708305
gridworld,1006,log,40,OCG,14.477720797858854,14.490847254306042,0.0009058446491654755
gridworld,1007,soft,5,OCG,10.20571222412574,10.5907543038718,0.03635643587778201
gridworld,1007,soft,10,OCG,10.533991173314178,10.5907543038718,0.005359687226137433
gridworld,1007,soft,20,OCG,10.547537959344771,10.5907543038718,0.004080572855063707
gridworld,1007,soft,40,OCG,10.561673462018536,10.5907543038718,0.002745870692386059
gridworld,1007,log,5,OCG,13.236017518758846,13.914836256472883,0.048783810689706476
gridworld,1007,log,10,OCG,13.827394668133062,13.914836256472883,0.006284054424222596
gridworld,1007,log,20,OCG,13.872790468920478,13.914836256472883,0.003021651622587122
gridworld,1007,log,40,OCG,13.893550425052172,13.914836256472883,0.0015297220196040043
gridworld,1008,soft,5,OCG,8.518011419237851,10.418470337175622,0.18241247097056787
gridworld,1008,soft,10,OCG,9.917978717051735,10.418470337175622,0.048038877486458985
gridworld,1008,soft,20,OCG,10.287122729805763,10.418470337175622,0.012607187343153355
gridworld,1008,soft,40,OCG,10.377898575033383,10.418470337175622,0.0038942148731248146
gridworld,1008,log,5,OCG,12.250067700815745,13.538735307398754,0.09518375072144063
gridworld,1008,log,10,OCG,13.202272879864783,13.538735307398754,0.02485183585427652
gridworld,1008,log,20,OCG,13.454448208490856,13.538735307398754,0.006225625731957154
gridworld,1008,log,40,OCG,13.512853224384969,13.538735307398754,0.0019117061103662407
gridworld,1009,soft,5,OCG,10.344834277952142,10.88947152125339,0.0500150298605638
gridworld,1009,soft,10,OCG,10.745435137611942,10.88947152125339,0.013227123406340347
gridworld,1009,soft,20,OCG,10.83625709253603,10.88947152125339,0.004886777894914225
gridworld,1009,soft,40,OCG,10.869069413021162,10.88947152125339,0.001873562752095717
gridworld,1009,log,5,OCG,14.171731670438968,14.912204492476013,0.04965549006591563
gridworld,1009,log,10,OCG,14.834637372337422,14.912204492476013,0.005201586403789424
gridworld,1009,log,20,OCG,14.867257636470312,14.912204492476013,0.003014098688653271
gridworld,1009,log,40,OCG,14.89033230359932,14.912204492476013,0.0014667307498182338
allocation,2000,soft,5,OCG,7.862388671926715,7.929877339995003,0.008510682470194465
allocation,2000,soft,10,OCG,7.90236649339521,7.929877339995003,0.003469265086994478
allocation,2000,soft,20,OCG,7.922803788759198,7.929877339995003,0.0008920126923185324
allocation,2000,soft,40,OCG,7.928131744156342,7.929877339995003,0.00022012898356657816
allocation,2000,log,5,OCG,13.996178014985556,14.124485535721034,0.009084049143665143
allocation,2000,log,10,OCG,14.07856252199641,14.124485535721034,0.0032513052322141853
allocation,2000,log,20,OCG,14.0975757350445,14.124485535721034,0.0019051880232011026
allocation,2000,log,40,OCG,14.108577052072558,14.124485535721034,0.0011263053516705251
allocation,2001,soft,5,OCG,7.813533476195518,7.923025337611907,0.013819451125141958
allocation,2001,soft,10,OCG,7.8483178556755355,7.923025337611907,0.009429161053129926
allocation,2001,soft,20,OCG,7.911019560322923,7.923025337611907,0.0015153021450014996
allocation,2001,soft,40,OCG,7.91972437142844,7.923025337611907,0.00041662951244099124
allocation,2001,log,5,OCG,13.408120496161123,13.898033686079373,0.03525053982341108
allocation,2001,log,10,OCG,13.764797765937745,13.898033686079373,0.009586674140463502
allocation,2001,log,20,OCG,13.865401499750515,13.898033686079373,0.0023479714516408826
allocation,2001,log,40,OCG,13.878866293653216,13.898033686079373,0.0013791441911207476
allocation,2002,soft,5,OCG,7.8913575021475335,7.932195557199554,0.005148392365964115
allocation,2002,soft,10,OCG,7.91674466082699,7.932195557199554,0.0019478713379097584
allocation,2002,soft,20,OCG,7.930717577910315,7.932195557199554,0.0001863266328447941
allocation,2002,soft,40,OCG,7.930229941811755,7.932195557199554,0.0002478021846064469
allocation,2002,log,5,OCG,14.060789787894795,14.154423920492697,0.006615184985546408
allocation,2002,log,10,OCG,14.09883602757116,14.154423920492697,0.003927245166160166
allocation,2002,log,20,OCG,14.135969207575304,14.154423920492697,0.0013038123643219586
allocation,2002,log,40,OCG,14.145572628585835,14.154423920492697,0.0006253374885887401
allocation,2003,soft,5,OCG,7.772934417000023,7.893621535112764,0.01528919489943814
allocation,2003,soft,10,OCG,7.835948162167414,7.893621535112764,0.007306326087310515
allocation,2003,soft,20,OCG,7.880126229032705,7.893621535112764,0.0017096469624276332
allocation,2003,soft,40,OCG,7.888096638807056,7.893621535112764,0.0006999190778443188
allocation,2003,log,5,OCG,13.235976058821818,13.73694085882348,0.03646843974580296
allocation,2003,log,10,OCG,13.572998061437195,13.73694085882348,0.011934447346840116
allocation,2003,log,20,OCG,13.685708306805296,13.73694085882348,0.0037295459407381145
allocation,2003,log,40,OCG,13.716438991362317,13.73694085882348,0.0014924623809525217
allocation,2004,soft,5,OCG,7.612959122288629,7.920479678260709,0.03882600151303082
allocation,2004,soft,10,OCG,7.888059617324965,7.920479678260709,0.004093194131250371
allocation,2004,soft,20,OCG,7.907698685089569,7.920479678260709,0.0016136640317656699
allocation,2004,soft,40,OCG,7.91692870512024,7.920479678260709,0.00044832804131997127
allocation,2004,log,5,OCG,13.112185749674916,13.83002147270667,0.05190416547424687
allocation,2004,log,10,OCG,13.70156719898782,13.83002147270667,0.009288074785158675
allocation,2004,log,20,OCG,13.774278631737596,13.83002147270667,0.004030567926382613
allocation,2004,log,40,OCG,13.820288219591752,13.83002147270667,0.0007037771513317278
allocation,2005,soft,5,OCG,7.870258304115476,7.941283729899701,0.008943821704393678
allocation,2005,soft,10,OCG,7.920962591375336,7.941283729899701,0.002558923621864094
allocation,2005,soft,20,OCG,7.932109207226791,7.941283729899701,0.0011552946582637658
allocation,2005,soft,40,OCG,7.937393428472268,7.941283729899701,0.0004898831926614139
allocation,2005,log,5,OCG,13.93104509094096,14.233851499414254,0.021273680457166065
allocation,2005,log,10,OCG,14.09735252525991,14.233851499414254,0.009589742745311167
allocation,2005,log,20,OCG,14.188876450120691,14.233851499414254,0.0031597244987003627
allocation,2005,log,40,OCG,14.21598407126771,14.233851499414254,0.0012552771220971524
allocation,2006,soft,5,OCG,7.758514569066589,7.924947924900986,0.02100119236259543
allocation,2006,soft,10,OCG,7.882201489098863,7.924947924900986,0.005393907468818796
allocation,2006,soft,20,OCG,7.910691449924961,7.924947924900986,0.001798936107987529
allocation,2006,soft,40,OCG,7.9203925379681115,7.924947924900986,0.0005748160083880744
allocation,2006,log,5,OCG,13.453671888013954,14.030435195408169,0.04110801264261395
allocation,2006,log,10,OCG,13.963082825202918,14.030435195408169,0.004800447688699907
allocation,2006,log,20,OCG,14.002622385735824,14.030435195408169,0.0019823198129625165
allocation,2006,log,40,OCG,14.01847435839178,14.030435195408169,0.0008524922320516
allocation,2007,soft,5,OCG,7.725932759191343,7.899050168196369,0.021916231106119764
allocation,2007,soft,10,OCG,7.848725702156989,7.899050168196369,0.006370951566050148
allocation,2007,soft,20,OCG,7.885375392191156,7.899050168196369,0.0017311924489695162
allocation,2007,soft,40,OCG,7.892769291125731,7.899050168196369,0.0007951433320332843
allocation,2007,log,5,OCG,13.222628308507087,13.659021699503182,0.03194909566707605
allocation,2007,log,10,OCG,13.481637701303015,13.659021699503182,0.012986581477253147
allocation,2007,log,20,OCG,13.598447978658248,13.659021699503182,0.004434704196065299
allocation,2007,log,40,OCG,13.636323140266548,13.659021699503182,0.0016617997786371195
allocation,2008,soft,5,OCG,7.694159982738782,7.928044546586974,0.029500914440355824
allocation,2008,soft,10,OCG,7.891113755190756,7.928044546586974,0.004658247210797588
allocation,2008,soft,20,OCG,7.922190503024779,7.928044546586974,0.0007383969057937693
allocation,2008,soft,40,OCG,7.92484836225927,7.928044546586974,0.00040314913834334427
allocation,2008,log,5,OCG,13.78314779200724,14.005406250089193,0.015869475980429874
allocation,2008,log,10,OCG,13.84487838335102,14.005406250089193,0.011461850079297098
allocation,2008,log,20,OCG,13.961804066082287,14.005406250089193,0.0031132395039685447
allocation,2008,log,40,OCG,13.98385183632817,14.005406250089193,0.0015390066790018815
allocation,2009,soft,5,OCG,7.807735446551023,7.915498059538109,0.013614129164902398
allocation,2009,soft,10,OCG,7.872966256280673,7.915498059538109,0.005373231467877821
allocation,2009,soft,20,OCG,7.907111849112315,7.915498059538109,0.0010594671823194487
allocation,2009,soft,40,OCG,7.913592407391965,7.915498059538109,0.0002407494931854258
allocation,2009,log,5,OCG,13.386196924908628,13.790180607078163,0.029295024748419923
allocation,2009,log,10,OCG,13.673838781389538,13.790180607078163,0.008436570122142552
allocation,2009,log,20,OCG,13.757523039745394,13.790180607078163,0.002368175462184103
allocation,2009,log,40,OCG,13.77904528322292,13.790180607078163,0.0008074820897941705
gridworld,1000,soft,5,FW,11.070615595586265,11.183563859297909,0.010099487527648872
gridworld,1000,soft,10,FW,11.121503755176546,11.183563859297909,0.005549224281467905
gridworld,1000,soft,20,FW,11.149515982829074,11.183563859297909,0.003044456748957308
gridworld,1000,soft,40,FW,11.158922020784477,11.183563859297909,0.002203397666741532
gridworld,1000,log,5,FW,16.02039742873433,16.11023146301734,0.005576210030826141
gridworld,1000,log,10,FW,16.049171340095093,16.11023146301734,0.003790145601719983
gridworld,1000,log,20,FW,16.062089403033962,16.11023146301734,0.0029882910182818783
gridworld,1000,log,40,FW,16.07155389409885,16.11023146301734,0.0024008077728290586
gridworld,1001,soft,5,FW,9.64853917169564,10.549273754825164,0.08538356327301996
gridworld,1001,soft,10,FW,10.392156790880842,10.549273754825164,0.014893628471102835
gridworld,1001,soft,20,FW,10.474425675829703,10.549273754825164,0.007095093059010362
gridworld,1001,soft,40,FW,10.492831151915356,10.549273754825164,0.005350378065977434
gridworld,1001,log,5,FW,13.8757148307656,14.192095974574322,0.02229277087581214
gridworld,1001,log,10,FW,14.144876763280667,14.192095974574322,0.0033271485324119637
gridworld,1001,log,20,FW,14.156931851505275,14.192095974574322,0.0024777258505046993
gridworld,1001,log,40,FW,14.16381322838988,14.192095974574322,0.001992851953306325
gridworld,1002,soft,5,FW,10.04795568747424,10.607347035317702,0.052736216320719995
gridworld,1002,soft,10,FW,10.440545351769105,10.607347035317702,0.015725108549123748
gridworld,1002,soft,20,FW,10.55313087262001,10.607347035317702,0.005111189679867789
gridworld,1002,soft,40,FW,10.58140263130456,10.607347035317702,0.0024458899974478827
gridworld,1002,log,5,FW,13.478810083832231,13.845631684003752,0.026493670245130132
gridworld,1002,log,10,FW,13.73228582430056,13.845631684003752,0.008186398590549288
gridworld,1002,log,20,FW,13.81076383467749,13.845631684003752,0.0025183285329297518
gridworld,1002,log,40,FW,13.827336887586329,13.845631684003752,0.0013213406823872175
gridworld,1003,soft,5,FW,10.46213680092082,10.88434726881353,0.03879060980555549
gridworld,1003,soft,10,FW,10.781769024482438,10.88434726881353,0.009424381802389276
gridworld,1003,soft,20,FW,10.8344131313704,10.88434726881353,0.0045877016057916
gridworld,1003,soft,40,FW,10.851546667753531,10.88434726881353,0.0030135570144826564
gridworld,1003,log,5,FW,14.83837764481249,15.10040955794399,0.01735263617360964
gridworld,1003,log,10,FW,14.998344817267984,15.10040955794399,0.006759071022832771
gridworld,1003,log,20,FW,15.055771986158692,15.10040955794399,0.002956050404726619
gridworld,1003,log,40,FW,15.071717236861456,15.10040955794399,0.0019001021775227206
gridworld,1004,soft,5,FW,10.894810557512454,11.128152675569629,0.02096863018148974
gridworld,1004,soft,10,FW,11.016780467953735,11.128152675569629,0.010008148779302463
gridworld,1004,soft,20,FW,11.074634765585053,11.128152675569629,0.004809235777477008
gridworld,1004,soft,40,FW,11.096413748012807,11.128152675569629,0.0028521290534142263
gridworld,1004,log,5,FW,15.767397843209856,15.867237726942886,0.0062922031831349635
gridworld,1004,log,10,FW,15.80685373373979,15.867237726942886,0.0038055768900823413
gridworld,1004,log,20,FW,15.837251977508906,15.867237726942886,0.0018897901418003773
gridworld,1004,log,40,FW,15.848768721277729,15.867237726942886,0.0011639710693812897
gridworld,1005,soft,5,FW,9.714264171055325,10.489022403285698,0.073863721750435
gridworld,1005,soft,10,FW,10.213145862403964,10.489022403285698,0.02630145406070595
gridworld,1005,soft,20,FW,10.321262608340934,10.489022403285698,0.015993844659175624
gridworld,1005,soft,40,FW,10.39192581980715,10.489022403285698,0.009256971693389859
gridworld,1005,log,5,FW,12.745234300268644,13.551424838783475,0.059491200970067465
gridworld,1005,log,10,FW,13.164255618745765,13.551424838783475,0.028570369879457443
gridworld,1005,log,20,FW,13.351293288434134,13.551424838783475,0.014768303165920664
gridworld,1005,log,40,FW,13.445225642446776,13.551424838783475,0.007836754998099044
gridworld,1006,soft,5,FW,9.794703019810877,10.645854141098454,0.07995141676811986
gridworld,1006,soft,10,FW,10.538287456564053,10.645854141098454,0.010104091518513152
gridworld,1006,soft,20,FW,10.582712791537809,10.645854141098454,0.00593107408046173
gridworld,1006,soft,40,FW,10.597583918745404,10.645854141098454,0.004534180321586638
gridworld,1006,log,5,FW,14.173755699400028,14.490847254306042,0.02188219566056004
gridworld,1006,log,10,FW,14.439664854386711,14.490847254306042,0.0035320501983844474
gridworld,1006,log,20,FW,14.458751459179448,14.490847254306042,0.0022149012106284145
gridworld,1006,log,40,FW,14.47002833779112,14.490847254306042,0.0014366942215014106
gridworld,1007,soft,5,FW,10.338072545476756,10.5907543038718,0.02385871215071692
gridworld,1007,soft,10,FW,10.484022484396183,10.5907543038718,0.010077829813934671
gridworld,1007,soft,20,FW,10.533097319770068,10.5907543038718,0.005444086648356383
gridworld,1007,soft,40,FW,10.555329621606427,10.5907543038718,0.003344868670253396
gridworld,1007,log,5,FW,13.655195093728876,13.914836256472883,0.018659304210153924
gridworld,1007,log,10,FW,13.800966310951903,13.914836256472883,0.008183347861388602
gridworld,1007,log,20,FW,13.83420837708428,13.914836256472883,0.005794382190526766
gridworld,1007,log,40,FW,13.864824135807918,13.914836256472883,0.003594158044202661
gridworld,1008,soft,5,FW,8.878589808596208,10.418470337175622,0.14780293831473004
gridworld,1008,soft,10,FW,10.137171326003989,10.418470337175622,0.02700002995333108
gridworld,1008,soft,20,FW,10.27065322295061,10.418470337175622,0.014187986282167001
gridworld,1008,soft,40,FW,10.321865696971042,10.418470337175622,0.009272439914703355
gridworld,1008,log,5,FW,12.542094277250898,13.538735307398754,0.07361404204447397
gridworld,1008,log,10,FW,13.277651462946102,13.538735307398754,0.019284212190039177
gridworld,1008,log,20,FW,13.38673805660876,13.538735307398754,0.011226842636249049
gridworld,1008,log,40,FW,13.444275912978645,13.538735307398754,0.006976973275228198
gridworld,1009,soft,5,FW,10.354509909760312,10.88947152125339,0.0491264989718714
gridworld,1009,soft,10,FW,10.719847264607871,10.88947152125339,0.01557690438093859
gridworld,1009,soft,20,FW,10.789200216486629,10.88947152125339,0.00920809651515753
gridworld,1009,soft,40,FW,10.815406108807498,10.88947152125339,0.0068015617012575375
gridworld,1009,log,5,FW,14.610808213761722,14.912204492476013,0.020211383157088637
