instance_type,utility,method,K,mean_relative_gap,std_relative_gap,min_relative_gap,max_relative_gap
allocation,log,FW,5,0.01569760765278943,0.006799340200045882,0.0064899360409500974,0.026232445080626308
allocation,log,FW,10,0.01035123149721002,0.004024046146260718,0.005179037658489971,0.017042363262429836
allocation,log,FW,20,0.006773648721730268,0.0021773047610563943,0.0039614944346267715,0.01061236376318388
allocation,log,FW,40,0.0039484610179970564,0.0008680118081809751,0.0026820587200339046,0.005492062456949035
allocation,log,OCG,5,0.027881766866837833,0.014499666948093005,0.006615184985546408,0.05190416547424687
allocation,log,OCG,10,0.008526293878354052,0.003429116182485305,0.0032513052322141853,0.012986581477253147
allocation,log,OCG,20,0.00283752491801655,0.0010199520378893542,0.0013038123643219586,0.004434704196065299
allocation,log,OCG,40,0.0011443084465246186,0.000376325582405481,0.0006253374885887401,0.0016617997786371195
allocation,soft,FW,5,0.008744547218581752,0.005837880663370588,0.0028778239076525753,0.023273704901963323
allocation,soft,FW,10,0.0030791842870895336,0.0011702617057952162,0.001752751330629978,0.005577756137260684
allocation,soft,FW,20,0.0022511413873238634,0.001016337324147166,0.0010441853748527578,0.004502897444192471
allocation,soft,FW,40,0.0016658363427150262,0.0006511193435325909,0.0008661671688166375,0.00309727221682879
allocation,soft,OCG,5,0.017657001115213657,0.010384002433028656,0.005148392365964115,0.03882600151303082
allocation,soft,OCG,10,0.00506010790320035,0.002251691600025479,0.0019478713379097584,0.009429161053129926
allocation,soft,OCG,20,0.001240023976769216,0.00052834746839541,0.0001863266328447941,0.001798936107987529
allocation,soft,OCG,40,0.0004536548964389849,0.0001942053297462181,0.00022012898356657816,0.0007951433320332843
gridworld,log,FW,5,0.027186561655085706,0.022043696705871568,0.005576210030826141,0.07361404204447397
gridworld,log,FW,10,0.009313008104692693,0.0082465555891833,0.0033271485324119637,0.028570369879457443
gridworld,log,FW,20,0.005214612920602528,0.004379703905913011,0.0018897901418003773,0.014768303165920664
gridworld,log,FW,40,0.0032346647853407134,0.0023746710034073318,0.0011639710693812897,0.007836754998099044
gridworld,log,OCG,5,0.04704640015774282,0.02789134571368255,0.008612173222151543,0.09518375072144063
gridworld,log,OCG,10,0.010672043109117992,0.008378228720232087,0.0021262628720971253,0.025902026110752357
gridworld,log,OCG,20,0.003201008082356311,0.0016064894920658408,0.0004294364539613634,0.006225625731957154
gridworld,log,OCG,40,0.0013947541922512492,0.0005933775042154263,0.0003648188267866826,0.0022721086026580638
gridworld,soft,FW,5,0.05825817950643073,0.04062585268757352,0.010099487527648872,0.14780293831473004
gridworld,soft,FW,10,0.014466080161080965,0.007174520754996529,0.005549224281467905,0.02700002995333108
gridworld,soft,FW,20,0.007541276505642233,0.004319302234511459,0.003044456748957308,0.015993844659175624
gridworld,soft,FW,40,0.004907537409925452,0.0026981199712829617,0.002203397666741532,0.009272439914703355
gridworld,soft,OCG,5,0.07478910471073871,0.05732773702093652,0.015101786072785258,0.18241247097056787
gridworld,soft,OCG,10,0.016978979266740232,0.01559006759614515,0.004795608113299371,0.048038877486458985
gridworld,soft,OCG,20,0.006151798717867079,0.004316914081545793,0.0017615213265200892,0.014362978962738717
gridworld,soft,OCG,40,0.0021203146977988307,0.0011527961159476083,0.0008664068676460596,0.004110593271136344
