method,G(Phi d),covered_targets_tau_0.5,exposure_entropy,planning_calls,runtime_sec,grid_n,horizon,target_count,obstacle_count,state_count,map_seed
Additive,4.072837834358362,4,1.2076359725650057,1,0.012747400032822043,10,24,12,8,92,3000
OCG K=20,10.572367625845468,12,2.4670560389945715,20,0.2619272999581881,10,24,12,8,92,3000
OCG K=40,10.610267741637172,12,2.473379790678853,40,0.5178058000165038,10,24,12,8,92,3000
Additive,2.0830082023912895,2,0.6710777278483042,1,0.012831299973186105,10,24,12,8,92,3001
OCG K=20,9.72459809028217,12,2.422348415853977,20,0.33363599999574944,10,24,12,8,92,3001
OCG K=40,9.78625028275924,12,2.431089711253011,40,0.7463410999625921,10,24,12,8,92,3001
Additive,8.319768187869986,9,1.9097486735016436,1,0.010776099981740117,10,24,12,8,92,3002
OCG K=20,11.084797468747132,12,2.4637080956270463,20,0.2973531999741681,10,24,12,8,92,3002
OCG K=40,11.108990394804882,12,2.4585062305389958,40,0.6072099999873899,10,24,12,8,92,3002
Additive,5.9902863331518645,7,1.5719040124847568,1,0.014320800022687763,10,24,12,8,92,3003
OCG K=20,10.975926659037558,12,2.4731478253520915,20,0.3001679999870248,10,24,12,8,92,3003
OCG K=40,11.011360122004717,12,2.470177055837872,40,0.5483872999902815,10,24,12,8,92,3003
Additive,5.247736657533874,5,1.5679983770649373,1,0.012234600028023124,10,24,12,8,92,3004
OCG K=20,10.332482015375286,12,2.4600635678097347,20,0.2922607999644242,10,24,12,8,92,3004
OCG K=40,10.434124150424987,12,2.4718417042222223,40,0.5326941999956034,10,24,12,8,92,3004
Additive,3.791532636735319,4,1.1560832440049733,1,0.03555819997563958,15,32,20,20,205,3100
OCG K=20,15.874614122774798,20,2.945986831442697,20,1.0557085999753326,15,32,20,20,205,3100
OCG K=40,15.905499729446333,20,2.9442870326267734,40,1.7995547999744304,15,32,20,20,205,3100
Additive,2.9465996986294654,3,0.851254720262205,1,0.07204880000790581,15,32,20,20,205,3101
OCG K=20,15.379410400683303,19,2.9121071720771265,20,1.0213910000165924,15,32,20,20,205,3101
OCG K=40,15.58463641757036,20,2.9349801577995427,40,2.1836588000296615,15,32,20,20,205,3101
Additive,3.246759412152125,3,1.0920442261729681,1,0.03825669997604564,15,32,20,20,205,3102
OCG K=20,15.287641747774984,19,2.9354438432530516,20,0.9617463999893516,15,32,20,20,205,3102
OCG K=40,15.404214445296589,20,2.9381776908477772,40,1.997024800046347,15,32,20,20,205,3102
Additive,4.1092199959430875,4,1.3701237843326401,1,0.04355279996525496,15,32,20,20,205,3103
OCG K=20,15.719860218367737,20,2.928945516494039,20,0.9847006000345573,15,32,20,20,205,3103
OCG K=40,15.86292027453997,20,2.946268292747707,40,1.9272228999761865,15,32,20,20,205,3103
Additive,3.7510226964402125,4,0.9874236577557142,1,0.05549810000229627,15,32,20,20,205,3104
OCG K=20,15.669757435036283,20,2.9670023647746113,20,0.9335892000235617,15,32,20,20,205,3104
OCG K=40,15.741735056039447,20,2.957018039765427,40,1.8549810000113212,15,32,20,20,205,3104
Additive,6.75344391124893,7,1.5484147951519058,1,0.12111489998642355,20,40,30,40,360,3200
OCG K=20,20.79479156838261,29,3.2766921458188807,20,3.010025199968368,20,40,30,40,360,3200
OCG K=40,21.234928120633715,29,3.306080796798745,40,4.995861200033687,20,40,30,40,360,3200
Additive,6.974727573711183,7,1.6092504876821376,1,0.10187589999986812,20,40,30,40,360,3201
OCG K=20,21.42621610014465,27,3.297699231161641,20,2.606062299979385,20,40,30,40,360,3201
OCG K=40,21.626433630395777,28,3.3282875024990055,40,4.9753744000336155,20,40,30,40,360,3201
Additive,4.902151753485308,5,1.3300954418321844,1,0.11619860003702343,20,40,30,40,360,3202
OCG K=20,20.76073270180151,29,3.2708682489966314,20,2.5434255999862216,20,40,30,40,360,3202
OCG K=40,21.07871120737018,29,3.2960922117262976,40,5.245170600013807,20,40,30,40,360,3202
Additive,6.775904706108615,7,1.5845004402286527,1,0.11583309998968616,20,40,30,40,360,3203
OCG K=20,19.791535005484395,28,3.2934404642986044,20,3.2175793000496924,20,40,30,40,360,3203
OCG K=40,20.056160048911682,29,3.3100578569524823,40,5.322128099971451,20,40,30,40,360,3203
Additive,7.478365764203698,8,1.673755520701439,1,0.16392250003991649,20,40,30,40,360,3204
OCG K=20,20.990094462350612,29,3.3242363524332617,20,2.474815099965781,20,40,30,40,360,3204
OCG K=40,21.48941777052572,30,3.3571740678852593,40,5.2647723000263795,20,40,30,40,360,3204
