method,G(Phi d),covered_targets_tau_0.5,exposure_entropy,planning_calls,runtime_sec,map_seed
Random,3.0016303300770533,3,0.9081745682536835,0,0.05197299999417737,1000
Additive,6.534498617684142,7,1.651820298339701,1,0.010538200032897294,1000
Nearest-target,9.397198997144363,10,2.2694357964707574,0,0.20266870001796633,1000
Marginal,7.058594395007696,8,1.772042200066544,6,0.10126309999031946,1000
OCG K=5,10.867607767851577,12,2.4337640989114426,5,0.07529889995930716,1000
OCG K=10,11.063513822754734,12,2.4611242592010694,10,0.20184619998326525,1000
OCG K=20,11.163863773053256,12,2.4690820063783248,20,0.3238806999870576,1000
OCG K=40,11.173874342765455,12,2.4732058118039464,40,0.6339136000024155,1000
Random,3.171881302516645,3,0.9795605583781714,0,0.05664150003576651,1001
Additive,6.7585476814800804,7,1.7207587209609265,1,0.010758600023109466,1001
Nearest-target,6.369515920553848,6,1.8700414568581336,0,0.20021750003797933,1001
Marginal,2.2766735803947706,2,0.4546977788678021,6,0.09205069998279214,1001
OCG K=5,9.273675959442041,11,2.3061361175639257,5,0.08469409996178001,1001
OCG K=10,10.416562720889024,12,2.4495960626379265,10,0.14769020001403987,1001
OCG K=20,10.476080944136676,12,2.460411324591011,20,0.31219060003058985,1001
OCG K=40,10.525180273001956,12,2.4637861902862435,40,0.7310540999751538,1001
Random,2.9586458195807315,3,1.3310201831904955,0,0.04761619999771938,1002
Additive,5.184579794713169,5,1.4543710275652808,1,0.010662599990610033,1002
Nearest-target,4.90943612193728,5,1.7306079830631143,0,0.15546660003019497,1002
Marginal,2.9381595086659273,3,0.9133892032610341,6,0.07077120000030845,1002
OCG K=5,10.126828128987214,12,2.405914810810488,5,0.0643121000030078,1002
OCG K=10,10.495098619764272,12,2.4694805942202476,10,0.11801010003546253,1002
OCG K=20,10.567037111405382,12,2.4810903620295903,20,0.2755140000372194,1002
OCG K=40,10.595208806272638,12,2.4815769132608274,40,0.6039024000056088,1002
Random,2.5967487291227154,2,1.1351517753567537,0,0.05318539997097105,1003
Additive,5.5782574180429485,6,1.5311926216702423,1,0.01889949996257201,1003
Nearest-target,6.435818864573896,7,1.8840772873958058,0,0.19166529999347404,1003
Marginal,2.2451608179781415,2,0.7299387397676539,6,0.07275160000426695,1003
OCG K=5,10.719974184818003,12,2.4393932471649107,5,0.0648761999909766,1003
OCG K=10,10.83215020474324,12,2.459315105223343,10,0.12034159997710958,1003
OCG K=20,10.863383635356556,12,2.4658562238393396,20,0.2625245999661274,1003
OCG K=40,10.873696673835282,12,2.472968514816118,40,0.6436022000270896,1003
Random,4.116997716894252,4,1.3332717598983166,0,0.04149059997871518,1004
Additive,3.1453920433100215,3,1.0788491922905667,1,0.013511399971321225,1004
Nearest-target,7.016255291814446,8,2.0580216522766097,0,0.18600580003112555,1004
Marginal,5.5806799499895,6,1.4414733634363124,6,0.08175810001557693,1004
OCG K=5,10.80562901949645,12,2.3758745745511733,5,0.08140839997213334,1004
OCG K=10,11.023949725077873,12,2.449319090693757,10,0.13748599996324629,1004
OCG K=20,11.089424862636985,12,2.4716957068487937,20,0.2880915999994613,1004
OCG K=40,11.112345451271034,12,2.4705969625706494,40,0.8407231000019237,1004
Random,3.176492575707719,3,1.1622556026136612,0,0.03830939996987581,1005
Additive,1.9997709110629431,2,0.5580321051336743,1,0.01415509998332709,1005
Nearest-target,4.901667116901143,5,1.6584681592609671,0,0.1973790999618359,1005
Marginal,5.781691223589155,6,1.6576405445906761,6,0.12465419998625293,1005
OCG K=5,8.999744838888656,11,2.2633548295047197,5,0.10405299998819828,1005
OCG K=10,10.026970925559205,12,2.407597417135722,10,0.1878292999463156,1005
OCG K=20,10.33836879516761,12,2.4627576472165305,20,0.3410647999844514,1005
OCG K=40,10.445906298373954,12,2.4736296243725873,40,0.6375660000485368,1005
Random,4.053498362088323,4,1.403989085005301,0,0.039465000038035214,1006
Additive,3.9132692510763025,4,1.1974550610690955,1,0.013580200029537082,1006
Nearest-target,5.472831680156269,5,1.8664070796845658,0,0.15961230004904792,1006
Marginal,4.42241743503855,4,1.2789286231937638,6,0.0688050000462681,1006
OCG K=5,9.596515935600095,11,2.285355191773092,5,0.057305000023916364,1006
OCG K=10,10.528144212499747,12,2.4551170429546914,10,0.14126609999220818,1006
OCG K=20,10.56415386943698,12,2.451569753801784,20,0.30496590002439916,1006
OCG K=40,10.625783718785318,12,2.459713727965932,40,0.5962968000094406,1006
Random,3.1307729812500327,3,1.0217904888744564,0,0.05830680002691224,1007
Additive,7.629164032714126,8,2.0040305529175875,1,0.009932799963280559,1007
Nearest-target,5.928181825737898,7,1.7745125302878924,0,0.15869770001154393,1007
Marginal,4.101990570370167,4,1.1886769780360444,6,0.07433260005200282,1007
OCG K=5,10.20571222412574,12,2.444689787328655,5,0.06198559998301789,1007
OCG K=10,10.533991173314178,12,2.4635849333946283,10,0.11920710001140833,1007
OCG K=20,10.547537959344771,12,2.480732397935217,20,0.2886247999849729,1007
OCG K=40,10.561673462018536,12,2.4739149927565505,40,0.6188783000106923,1007
Random,3.152921261796121,4,0.9959613984021504,0,0.06444539997028187,1008
Additive,2.0207103853288215,2,0.6711130126143304,1,0.016067100048530847,1008
Nearest-target,5.99483158496604,7,2.0815183234588033,0,0.18409660004545003,1008
Marginal,5.344601390146574,6,1.432359575836441,6,0.11834089999319986,1008
OCG K=5,8.518011419237851,10,2.149980784659727,5,0.07339289999799803,1008
OCG K=10,9.917978717051735,12,2.393689557009591,10,0.16111719998298213,1008
OCG K=20,10.287122729805763,12,2.454886988857268,20,0.31283629999961704,1008
OCG K=40,10.377898575033383,12,2.4695358419687574,40,0.6315431999973953,1008
Random,3.508288506772096,3,1.1783420401931863,0,0.05874320003204048,1009
Additive,5.066484654264878,5,1.3908745572729226,1,0.018048500001896173,1009
Nearest-target,6.425529368687768,7,2.0270103685029555,0,0.18742339999880642,1009
Marginal,5.76273047376953,7,1.4929664207556086,6,0.10139640001580119,1009
OCG K=5,10.344834277952142,12,2.417171775312445,5,0.07431890000589192,1009
OCG K=10,10.745435137611942,12,2.4589742746130834,10,0.1520242000115104,1009
OCG K=20,10.83625709253603,12,2.4734119503634195,20,0.3228971000062302,1009
OCG K=40,10.869069413021162,12,2.4758480068144046,40,0.5687038999749348,1009
