method,G(Phi d),covered_targets_tau_0.5,exposure_entropy,planning_calls,runtime_sec
OCG K=40,11.072126101879071,12,2.475307969733272,40,0.5696367000346072
OCG K=20,11.065920724855156,12,2.4768400320992225,20,0.3232268000137992
OCG K=10,10.998041324507655,12,2.4674696923130304,10,0.15092250000452623
OCG K=5,10.524779554160514,12,2.397060084771952,5,0.06992059998447075
OCG K=2,7.781335988692107,9,1.9723590079398758,2,0.04034310003044084
Additive,4.646549179581901,5,1.3529621725429717,1,0.03830450004898012
OCG K=1,4.646549179581901,5,1.3529621725429717,1,0.020671000005677342
Marginal,3.781600594854991,4,1.2005889911331806,6,0.09171649999916553
Nearest-target,3.504719390179884,3,1.736820324866859,0,0.24041510000824928
Random,2.4257419757681156,3,1.592776771843647,0,0.09937189996708184
